baseline,seed,rows,improved_rmse,baseline_rmse,rmse_reduction,improved_mae,baseline_mae,mae_reduction,improved_r2,baseline_r2,r2_gain
LSTM-raw,42,3231,0.11674588139347679,0.13707214168745993,0.020326260293983142,0.08381685636250946,0.09751391694499238,0.01369706058248292,0.9173090869098304,0.886008347934041,0.03130073897578933
LSTM-raw,52,3231,0.12338949992145354,0.13264610050542103,0.00925660058396749,0.0880947079422831,0.09416183408791308,0.006067126145629986,0.9076299754316016,0.8932510466899621,0.014378928741639485
LSTM-raw,62,3231,0.11865673850621969,0.1387684125345005,0.020111674028280818,0.08460076925902281,0.0991004624729871,0.014499693213964285,0.9145800201725018,0.8831695925834075,0.03141042758909429
LSTM-raw,72,3231,0.1198728382012929,0.14274000729903413,0.02286716909774124,0.08814729163168626,0.10175816282908029,0.013610871197394028,0.912820127966313,0.8763864496359189,0.036433678330394015
LSTM-raw,82,3231,0.11822078020428971,0.13250459560273475,0.014283815398445046,0.08424243432183856,0.09549044593950384,0.011248011617665282,0.9152065524480814,0.8934786816227659,0.021727870825315465
TCN,42,3256,0.11635312210302037,0.12115590715798945,0.004802785054969075,0.08340555712863368,0.08830342235048198,0.004897865221848305,0.9190845427087736,0.9122666731859307,0.006817869522842912
TCN,52,3256,0.12297784869179385,0.12980694233272502,0.0068290936409311775,0.08768471488498306,0.09806180386114512,0.01037708897616206,0.9096081669746237,0.8992903120041545,0.01031785497046911
TCN,62,3256,0.11823699167158998,0.12342754258282725,0.005190550911237268,0.08416825818066141,0.08928599986106253,0.005117741680401119,0.9164431319217735,0.9089458855045307,0.007497246417242809
TCN,72,3256,0.11946329381155446,0.12798028412189863,0.008516990310344169,0.08768252686718733,0.09500548757832747,0.007322960711140136,0.9147009135064991,0.9021047656342264,0.0125961478722727
TCN,82,3256,0.11790682557911043,0.1241363064670639,0.00622948088795347,0.08398456307898346,0.0919506336020071,0.007966070523023644,0.916909130358371,0.9078971542373863,0.0090119761209847
TFT,42,3256,0.11635312210302037,0.12497629453204534,0.008623172429024967,0.08340555712863368,0.08977119311077049,0.006365635982136811,0.9190845427087736,0.9066464799475568,0.01243806276121684
TFT,52,3256,0.12297784869179385,0.13744573625267756,0.014467887560883713,0.08768471488498306,0.10079768547871942,0.013112970593736367,0.9096081669746237,0.8870885578356826,0.02251960913894102
TFT,62,3256,0.11823699167158998,0.12896748153945187,0.01073048986786189,0.08416825818066141,0.09174472561122954,0.007576467430568126,0.9164431319217735,0.9005886781356985,0.015854453786074973
TFT,72,3256,0.11946329381155446,0.13397715089741735,0.014513857085862891,0.08768252686718733,0.09905455633692684,0.011372029469739503,0.9147009135064991,0.8927155234651086,0.02198539004139044
TFT,82,3256,0.11790682557911043,0.1262749689104787,0.008368143331368275,0.08398456307898346,0.08835503036192598,0.0043704672829425195,0.916909130358371,0.9046962584598915,0.012212871898479416
PatchTST,42,3256,0.11635312210302037,0.13082021157167656,0.014467089468656186,0.08340555712863368,0.09729498102675074,0.013889423898117065,0.9190845427087736,0.897711901616462,0.02137264109231163
PatchTST,52,3256,0.12297784869179385,0.16889648790715678,0.04591863921536293,0.08768471488498306,0.1195531392078932,0.03186842432291015,0.9096081669746237,0.829503036769389,0.08010513020523469
PatchTST,62,3256,0.11823699167158998,0.1689487990467264,0.05071180737513643,0.08416825818066141,0.11931010170875661,0.0351418435280952,0.9164431319217735,0.8293974067264749,0.08704572519529863
PatchTST,72,3256,0.11946329381155446,0.12501739332706088,0.005554099515506422,0.08768252686718733,0.08860087001163937,0.0009183431444520357,0.9147009135064991,0.9065850707330104,0.008115842773488646
PatchTST,82,3256,0.11790682557911043,0.12581259997373878,0.007905774394628348,0.08398456307898346,0.09047176215038147,0.0064871990713980116,0.916909130358371,0.9053929098205724,0.01151622053779855
